title,link,author,journal,website,abstract,referenced
Nonlinearity of the concentration dependence of the Curie temperature in ferroelectric perovskite solid solutions,https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-396X(200009)181:1%3C211::AID-PSSA211%3E3.0.CO;2-J,VA Isupov,"physica status solidi (a), 2000",Wiley Online Library,"… perovskites) Curie temperature 490 to 500 C). Because of that, the Curie temperature of its
… That is understandable for the PT±BiF system: BiFeO3 has higher Curie temperature 810 C […",45
Prediction of Curie Temperatures in Ternary Fe‐Co‐Ni Alloys. II,https://aip.scitation.org/doi/abs/10.1063/1.1713257,"TC Pilkington, JL Artley, FT Wooten","Journal of Applied Physics, 1964",aip.scitation.org,"… Model I is appealing because it predicts the Curie temperatures over the entire range of
fcc … for the Curie temperature obtained from this model predict the Curie temperature accurately …",16
Nd-doped ZnO monolayer: High Curie temperature and large magnetic moment,https://www.sciencedirect.com/science/article/pii/S0749603616306279,"C Tan, D Sun, L Zhou, X Tian, Y Huang","Superlattices and Microstructures, 2016",Elsevier,"… Using mean-field theory and the energy difference between FM and AFM states, we could
estimate the Curie temperature of the doped system by the formula γk B T c /2 = E(AFM) − E(…",20
Ultrasonic Relaxation near the Curie Temperature of Ferroelectric Triglycine Sulfate,https://aip.scitation.org/doi/abs/10.1063/1.1713064,"EJ O'Brien, TA Litovitz","Journal of Applied Physics, 1964",aip.scitation.org,"… where Te is the transition temperature and {3 IS a temperature-independent … vs temperature
near the lower Curie temperature of Rochelle salt. They conclude that T has a temperature …",79
Sensitivity of Curie Temperature to Crystal-Field Anisotropy. II. Fe,https://journals.aps.org/pr/abstract/10.1103/PhysRev.156.543,ME Lines,"Physical Review, 1967",APS,"… high-and low-temperature experimental data in order to … the various theories for transition
temperature which were the … a theoretical estimate for the Néel temperature which is in error …",60
Fe5−xGe2Te2—a New Exfoliable Itinerant Ferromagnet with High Curie Temperature and Large Perpendicular Magnetic Anisotropy,https://onlinelibrary.wiley.com/doi/abs/10.1002/pssr.201900666,"PR Jothi, JP Scheifers, Y Zhang…","physica status solidi …, 2020",Wiley Online Library,"… magnetic properties such as high Curie temperature (T C ) … Novel heterostructure devices
with near-room-temperature … of large spin polarization and high Curie temperature (T C ) has …",9
Manipulation of the Curie temperature and the magnetic moments of ultrathin Ni and Co films by Cu-capping,https://www.sciencedirect.com/science/article/pii/S030488530000531X,"F Wilhelm, U Bovensiepen, A Scherz…","Journal of magnetism …, 2000",Elsevier,"… the Curie temperature by about … Curie temperature. We show that the Cu-capping results
in a decrease of the magnetic moments and the relation of it to the reduced Curie temperatures …",45
"Phase equilibria and curie temperature in the LiNbO3− xTiO2 system, investigated by dta and x-ray diffraction",https://www.sciencedirect.com/science/article/abs/pii/0025540881902634,"B Guenais, M Baudet, M Minier, M Le Cun","Materials Research Bulletin, 1981",Elsevier,"… We found a coincidence between the Curie temperature of LiNbO 3 as a function of its
composition, and the Curie temperature of LiNbO3~xTi02 as a function of an equivalent …",46
"Pressure dependence of the Curie temperatures of the fcc alloys of Fe with Ni, Pd and Pt",https://www.sciencedirect.com/science/article/pii/0375960168901977,"RC Wayne, LC Bartel","Physics Letters A, 1968",Elsevier,"… The pressure derivatives of the Curie temperature, Tc, have been measured for fcc alloys
of Fe with 25-40 at. ~0 Ni, Pd and Pt. A smooth decrease of -(~Tc/~P) with increasing T c is …",59
Pressure effect on the curie temperature of Dy2Fe17− yAly compounds,https://www.sciencedirect.com/science/article/pii/0378436385902414,"RJ Radwański, JJM Franse, K Krop, R Duraj, R Zach","Physica B+ C, 1985",Elsevier,"The pressure variation of the Curie temperature T c has been measured up to 15 kbar by
means of the ac susceptibility. The pressure changes of T c are negative, large and not linear, …",13
The effect of structural relaxation on the Curie temperature of Fe based metallic glasses,https://ieeexplore.ieee.org/abstract/document/1059237/,"H Chen, R Sherwood, H Leamy…","IEEE Transactions on …, 1976",ieeexplore.ieee.org,"The Curie temperature, T c , of (Fe 100-x M x ) 0.75 P 0.16 B .06 Al .03 glasses with M = Ni,
Mo or Cr were measured. T c of the glasses increases monotonically with annealing …",49
Ferromagnetic curie temperatures of the Heisenberg model with next-nearest-neighbor interactions,https://journals.aps.org/pr/abstract/10.1103/PhysRev.159.384,"DW Wood, NW Dalton","Physical Review, 1967",APS,"… The Curie temperatures ofthe Heisenberg ferromagnet with … , sc, and fcc lattices on the
basis of exact high-temperatures … In this paper we report the calculation of the Curie points of …",47
Effect of Pressure on the Curie Temperature in GdZn1-xInx (0≤x≤0.15),https://journals.jps.jp/doi/abs/10.1143/JPSJ.37.1238,T Hiraoka,"Journal of the Physical Society of Japan, 1974",journals.jps.jp,"… Effect of pressure on the Curie temperature has been studied in ferromagnetic compound …
Change of sign in the pressure coeﬁicient of the Curie temperature (1/Tc)-(AT,/AP) was found …",19
"Large spontaneous magnetostrictive softening below the Curie temperature of
Invar particles",https://aip.scitation.org/doi/abs/10.1063/1.1803634,"E Duman, M Acet, T Hülser…","Journal of Applied …, 2004",aip.scitation.org,"… in a similar temperature range around the Curie temperature. … Fe 3 C is ferromagnetic below
the Curie temperature T C of … Invar compound for which the temperature dependence of the …",33
"Structure, Curie temperature, and magnetostriction of Sm1−xPrxFe2 alloys",https://aip.scitation.org/doi/abs/10.1063/1.363761,"BW Wang, LZ Cheng, KY He","Journal of applied physics, 1996",aip.scitation.org,"… to the slightly higher Curie temperature in SmFe2 than that in DyFe2. The Curie temperature
of PrFe2 is less than that of SmFe2, therefore, the Curie temperature of Sm1xPrxFe2 alloys …",30
Specific heat of a three-dimensional Ising ferromagnet above the Curie temperature,https://iopscience.iop.org/article/10.1088/0370-1328/91/3/320/meta,"MF Sykes, JL Martin, DL Hunter","Proceedings of the Physical …, 1967",iopscience.iop.org,"… of a class of expansions usually called high-temperature expanszons. These are in general
… down to the Curie temperature, Thus, for example, the high-temperature expansion of the …",96
Forced Magnetostrictions and Magnetizations of Ni2+xMnGa1−x at Its Curie Temperature,https://www.mdpi.com/357658,"T Sakon, Y Hayashi, D Li, F Honda, G Oomi, Y Narumi…","Materials, 2018",mdpi.com,"… the Curie temperature T C , which is the critical temperature of the ferromagnetic–paramagnetic
transition. This result confirms Takahashi’s spin fluctuation theory and the experimental …",7
Curie temperature in the Hubbard model with alloy disorder,https://link.springer.com/article/10.1140/epjb/e2005-00216-2,"K Byczuk, M Ulmke",The European Physical Journal B,"Condensed Matter …, 2005","… A disorder induced enhancement of the Curie temperature is demonstrated and explained
… applications to precisely control the Curie temperature of different ferromagnetic alloys or …",25
Phase structure and piezoelectric properties of high Curie temperature BiYbO3–PbTiO3–BaTiO3 ceramics,https://www.sciencedirect.com/science/article/pii/S0925838808012292,"G Feng, H Rongzi, L Jiaji, L Zhen, C Lihong…","Journal of alloys and …, 2009",Elsevier,"… will result in a higher Curie temperature at the MPB for BiMeO … So it means that ceramics with
a higher Curie temperature … investigated as a high Curie temperature piezoelectric. BaTiO 3 …",35
Lead‐Free polycrystalline ferroelectric nanowires with enhanced curie temperature,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201701169,"A Datta, PE Sanchez‐Jimenez…","Advanced functional …, 2017",Wiley Online Library,"… low Curie temperatures (T C ) and/or high cost in many cases. Efforts have been made to
enhance T C through strain engineering, often involving energy‐intensive and expensive …",17
Influence of tetragonality and secondary phase on the Curie temperature for barium titanate ceramics,https://link.springer.com/article/10.1007/s10854-007-9477-0,"B Tang, SR Zhang, Y Yuan, LB Yang…","Journal of Materials …, 2008",Springer,"… temperature of the phase transition from tetragonal to cubic is called as the Curie temperature
(… T c varies with temperature according to the Curie–Weiss law [1], where T 0 and C are the …",18
Experimental thermal expansivities for single-crystal gadolinium metal near the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.24.6326,"DA Dolejsi, CA Swenson","Physical Review B, 1981",APS,"… the three-dimensional Heisenberg model for high temperatures, with a crossover to a new …
this temperature. Similar, although less marked, changes in behavior appear for temperatures …",25
Significantly enhanced piezoelectricity in low-temperature sintered Aurivillius-type ceramics with ultrahigh Curie temperature of 800° C,https://iopscience.iop.org/article/10.1088/1361-6463/aa5872/meta,"K Cai, C Huang, D Guo","Journal of Physics D: Applied Physics, 2017",iopscience.iop.org,"… effort on high-temperature piezoceramics. When an operational temperature of 400 C or …
the only available materials because of their ultrahigh Curie temperature (T c ) of around 600–…",20
Metal-free half-metallicity in a high energy phase C-doped gh-C 3 N 4 system: A high curie temperature planar system,https://pubs.rsc.org/en/content/articlehtml/2016/tc/c6tc04163a,"I Choudhuri, G Bhattacharyya, S Kumar…","Journal of Materials …, 2016",pubs.rsc.org,"… with a Curie temperature as high as ∼400 K. The calculated Curie temperature is noticeably
… a high Curie temperature can be promising for high temperature spintronics applications. …",30
"BiFeO3-modified (K, Na, Li)(Nb, Sb) O3 lead free ceramics with high Curie temperature",https://www.sciencedirect.com/science/article/pii/S0925838817310228,"B Wu, J Ma, W Wu, M Chen, Y Ding, H Tian","Journal of Alloys and …, 2017",Elsevier,"… r ∼1689 and tan δ∼0.03) as well as high Curie temperature (T c ∼370 C) were obtained in
the … ceramics with high Curie temperature is a promising candidate for piezoelectric devices. …",22
"Electronic structure, Fermi surface, and Curie temperature calculations for the Co-Pt system",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.60.2262,"A Kashyap, KB Garg, AK Solanki, T Nautiyal, S Auluck","Physical Review B, 1999",APS,"… to calculate the Curie temperature of these compounds. Our calculated values of the Curie
temperature are in agreement with the experimental data of the Curie temperature. We also …",33
"Pairing High Piezoelectric Coefficients, d33, with High Curie Temperature (TC) in Lead-Free (K,Na)NbO3",https://pubs.acs.org/doi/abs/10.1021/acsami.6b08199,"MA Rafiq, ME Costa, PM Vilarinho","ACS applied materials & …, 2016",ACS Publications,"… coefficient d 33 with high Curie temperature in lead-free KNN. (001)… temperature with
improved properties (compared to those of bulk counterparts) were prepared by a high-temperature …",30
"Carrier-induced ferromagnetism in
epilayers with a Curie temperature up to 190 K",https://aip.scitation.org/doi/abs/10.1063/1.3052081,"Y Fukuma, H Asada, S Miyawaki, T Koyanagi…","Applied Physics …, 2008",aip.scitation.org,"… , and the Curie temperature T C , are altered by the hole concentration p . In the Ge 0.92
Mn 0.08 Te layer with high p , strong magnetic anisotropy and the temperature dependence of …",97
